,kind=lr-nanswers=12-nstudents=11-gammaprove=0.15-gammadisprove=0.85_fullstatespace,kind=lr-nanswers=12-nstudents=11-gammaprove=0.85-gammadisprove=0.15_fullstatespace,kind=lr-nanswers=12-nstudents=5-gammaprove=0.15-gammadisprove=0.85_fullstatespace,kind=lr-nanswers=12-nstudents=5-gammaprove=0.85-gammadisprove=0.15_fullstatespace,kind=lr-nanswers=6-nstudents=11-gammaprove=0.15-gammadisprove=0.85_fullstatespace,kind=lr-nanswers=6-nstudents=11-gammaprove=0.85-gammadisprove=0.15_fullstatespace,kind=lr-nanswers=6-nstudents=5-gammaprove=0.15-gammadisprove=0.85_fullstatespace,kind=lr-nanswers=6-nstudents=5-gammaprove=0.85-gammadisprove=0.15_fullstatespace,kind=maximin_raw-nanswers=12-nstudents=11-gammaprove=0.15-gammadisprove=0.85_fullstatespace,kind=maximin_raw-nanswers=12-nstudents=11-gammaprove=0.85-gammadisprove=0.15_fullstatespace,kind=maximin_raw-nanswers=12-nstudents=5-gammaprove=0.15-gammadisprove=0.85_fullstatespace,kind=maximin_raw-nanswers=12-nstudents=5-gammaprove=0.85-gammadisprove=0.15_fullstatespace,kind=maximin_raw-nanswers=6-nstudents=11-gammaprove=0.15-gammadisprove=0.85_fullstatespace,kind=maximin_raw-nanswers=6-nstudents=11-gammaprove=0.85-gammadisprove=0.15_fullstatespace,kind=maximin_raw-nanswers=6-nstudents=5-gammaprove=0.15-gammadisprove=0.85_fullstatespace,kind=maximin_raw-nanswers=6-nstudents=5-gammaprove=0.85-gammadisprove=0.15_fullstatespace,kind=nonparametric_raw-nanswers=12-nstudents=11-condition=high_fullstatespace,kind=nonparametric_raw-nanswers=12-nstudents=11-condition=low_fullstatespace,kind=nonparametric_raw-nanswers=12-nstudents=5-condition=high_fullstatespace,kind=nonparametric_raw-nanswers=12-nstudents=5-condition=low_fullstatespace,kind=nonparametric_raw-nanswers=6-nstudents=11-condition=high_fullstatespace,kind=nonparametric_raw-nanswers=6-nstudents=11-condition=low_fullstatespace,kind=nonparametric_raw-nanswers=6-nstudents=5-condition=high_fullstatespace,kind=nonparametric_raw-nanswers=6-nstudents=5-condition=low_fullstatespace
"('none', 'none', 'right')",-1.6877628602180432,1.6877628602180432,-0.7671649364626548,0.7671649364626548,-5.20781130413788,5.20781130413788,-2.3671869564263077,2.3671869564263077,-228.96733931122998,-190.80611609269164,-104.07606332328638,-86.73005276940532,-114.48366965561499,-76.32244643707665,-52.03803166164319,-34.692021107762116,5.5,-5.5,2.5,-2.5,5.5,-5.5,2.5,-2.5
"('none', 'none', 'wrong')",1.6877628602175456,-1.6877628602175456,0.7671649364626449,-0.7671649364626449,5.207811304137866,-5.207811304137866,2.3671869564263055,-2.3671869564263055,-190.80611609269164,-228.96733931123,-86.73005276940532,-104.07606332328636,-76.32244643707669,-114.483669655615,-34.69202110776213,-52.03803166164318,-5.5,5.5,-2.5,2.5,-5.5,5.5,-2.5,2.5
"('none', 'some', 'right')",228.96733931123,-228.96733931123,104.07606332328638,-104.07606332328638,114.483669655615,-114.483669655615,52.03803166164319,-52.03803166164319,228.96733931123,-228.96733931123,104.07606332328636,-104.07606332328636,114.483669655615,-114.483669655615,52.03803166164318,-52.03803166164318,-66.0,66.0,-30.0,30.0,-33.0,33.0,-15.0,15.0
"('none', 'some', 'wrong')",-228.96733931123003,228.96733931123003,-104.07606332328639,104.07606332328639,-114.48366965561502,114.48366965561502,-52.038031661643195,52.038031661643195,-228.96733931122998,228.96733931122998,-104.07606332328638,104.07606332328638,-114.48366965561499,114.48366965561499,-52.03803166164319,52.03803166164319,66.0,-66.0,30.0,-30.0,33.0,-33.0,15.0,-15.0
"('none', 'most', 'right')",59.09225906338159,-59.09225906338159,26.86011775608255,-26.86011775608255,33.489795224964,-33.489795224964,15.222634193165455,-15.222634193165455,0.0,-228.96733931123,-3.552713678800501e-15,-104.07606332328636,0.0,-114.483669655615,-1.7763568394002505e-15,-52.03803166164318,-33.0,33.0,-15.0,15.0,-16.5,16.5,-7.5,7.5
"('none', 'most', 'wrong')",-59.09225906338162,59.09225906338162,-26.860117756082552,26.860117756082552,-33.489795224964006,33.489795224964006,-15.222634193165456,15.222634193165456,-228.96733931122998,0.0,-104.07606332328638,3.552713678800501e-15,-114.48366965561499,0.0,-52.03803166164319,1.7763568394002505e-15,33.0,-33.0,15.0,-15.0,16.5,-16.5,7.5,-7.5
"('none', 'all', 'right')",1.6877628602175456,-1.6877628602175456,0.7671649364626449,-0.7671649364626449,5.207811304137866,-5.207811304137866,2.3671869564263055,-2.3671869564263055,-190.80611609269164,-228.96733931123,-86.73005276940532,-104.07606332328636,-76.32244643707669,-114.483669655615,-34.69202110776213,-52.03803166164318,-5.5,5.5,-2.5,2.5,-5.5,5.5,-2.5,2.5
"('none', 'all', 'wrong')",-1.6877628602180432,1.6877628602180432,-0.7671649364626548,0.7671649364626548,-5.20781130413788,5.20781130413788,-2.3671869564263077,2.3671869564263077,-228.96733931122998,-190.80611609269164,-104.07606332328638,-86.73005276940532,-114.48366965561499,-76.32244643707665,-52.03803166164319,-34.692021107762116,5.5,-5.5,2.5,-2.5,5.5,-5.5,2.5,-2.5
"('some', 'none', 'right')",20.163059853679062,-20.163059853679062,20.531769403943684,-20.531769403943684,8.979393602899632,-8.979393602899632,9.674877148879355,-9.674877148879355,-187.33691398191544,-228.96733931123,-62.44563799397183,-104.07606332328636,-93.66845699095771,-114.483669655615,-31.22281899698591,-52.03803166164318,-3.8950942740779624,3.8950942740779624,-5.0798213308726865,5.0798213308726865,-1.2358916804482405,1.2358916804482405,-2.152585538700034,2.152585538700034
"('some', 'none', 'wrong')",-20.163059853679513,20.163059853679513,-20.531769403943688,20.531769403943688,-8.97939360289966,8.97939360289966,-9.674877148879359,9.674877148879359,-228.96733931122998,-187.33691398191544,-104.07606332328638,-62.445637993971815,-114.48366965561499,-93.66845699095771,-52.03803166164319,-31.222818996985907,3.8950942740779624,-3.8950942740779624,5.079821330872683,-5.079821330872683,1.2358916804482405,-1.2358916804482405,2.152585538700034,-2.152585538700034
